start_time,end_time,open,close,low,high,h_open,h_close,h_low,h_high,finish,atr_14,macd_13_34,st_signal,av2_open,av2_close,histo2,qqe,ema_h200,ema_200,fastk,fastd,xo_signal,macd_hists
2023-06-10 00:00:00,2023-06-10 00:00:59,9.28,9.272,9.269,9.283,9.284063548140844,9.276,9.269,9.284063548140844,True,0.011153473246324987,-0.003827670912882386,0,9.337182154887767,9.333937614635683,-28.793616756810987,-28.793616756810987,9.369559614403363,9.36917246057734,20.7294189794499,14.428691118538639,0,-2
2023-06-10 00:01:00,2023-06-10 00:01:59,9.272,9.285,9.268,9.286,9.280031774070423,9.277750000000001,9.268,9.286,True,0.01164251087158741,-0.0026662145609552823,0,9.335559884761723,9.332227816223957,-21.280028638269744,-21.280028638269744,9.368646085901837,9.368334923656173,23.584382702980747,20.083738299355517,0,-1
2023-06-10 00:02:00,2023-06-10 00:02:59,9.286,9.282,9.275,9.293,9.278890887035212,9.283999999999999,9.275,9.293,True,0.012096617237902518,-0.0018836898998827664,0,9.333893850492839,9.33055078580221,-17.412561380233853,-0.0,9.367803836290873,9.367475869689445,39.456169599019155,27.923323760483285,0,-1
2023-06-10 00:03:00,2023-06-10 00:03:59,9.281,9.283,9.28,9.286,9.281445443517605,9.2825,9.28,9.286,True,0.011661144578052354,-0.0011039288108239016,0,9.332222318147524,9.328900768466376,-14.230243543063906,-0.0,9.366955041899919,9.366635313772138,64.26857683799625,42.436376379998734,0,-1
2023-06-10 00:04:00,2023-06-10 00:04:59,9.282,9.286,9.279,9.291,9.281972721758802,9.2845,9.279,9.291,True,0.011685348536762933,-0.000222018947325979,0,9.330561543306949,9.327297061723643,-10.208054885924888,-0.0,9.36613459372181,9.365832972341568,88.1277052872686,63.95081724142801,0,-1
2023-06-10 00:05:00,2023-06-10 00:05:59,9.286,9.29,9.286,9.293,9.2832363608794,9.28875,9.286,9.293,True,0.011350680784136985,0.0007552711812809192,0,9.328929302515297,9.325769978290008,-5.158565194631102,-0.0,9.36536459776438,9.365078415402847,96.27107966945778,82.8891205982409,0,-1
2023-06-10 00:06:00,2023-06-10 00:06:59,9.291,9.292,9.288,9.293,9.2859931804397,9.291,9.288,9.293,True,0.010897060728127128,0.0016119732858307888,0,9.327349640402653,9.324329135735638,-0.657631709139288,-0.0,9.364624651517968,9.364351266990878,99.99999999999996,94.79959498557547,0,-1
2023-06-10 00:07:00,2023-06-10 00:07:59,9.293,9.3,9.292,9.301,9.28849659021985,9.2965,9.292,9.301,True,0.010761556390403786,0.0027610441435439864,0,9.325839388069147,9.323003812793274,6.037936730641185,6.037936730641185,9.363946794288934,9.363710955876542,99.99999999999996,98.75702655648591,0,-1
2023-06-10 00:08:00,2023-06-10 00:08:59,9.3,9.301,9.297,9.306,9.292498295109926,9.301,9.297,9.306,True,0.010635730933946269,0.003563041586599914,0,9.324421600431211,9.321809407164254,10.892791205092841,10.892791205092841,9.363320458027353,9.36308696626583,99.99999999999996,99.99999999999996,0,2
2023-06-10 00:09:00,2023-06-10 00:09:59,9.302,9.307,9.3,9.31,9.296749147554962,9.30475,9.3,9.31,True,0.01059032158152152,0.0044416773260232655,0,9.323115503797734,9.320751997537535,16.25111354390718,16.25111354390718,9.362737667400214,9.362528886999502,99.99999999999996,99.99999999999996,0,2
2023-06-10 00:10:00,2023-06-10 00:10:59,9.308,9.307,9.306,9.309,9.30074957377748,9.3075,9.306,9.309,True,0.010048155754269992,0.004911732829039714,0,9.321933750667636,9.31982856870595,19.82332843645007,19.82332843645007,9.362188038868869,9.361976360760702,99.99999999999996,99.99999999999996,0,2
2023-06-10 00:11:00,2023-06-10 00:11:59,9.308,9.307,9.306,9.31,9.304124786888739,9.30775,9.306,9.31,True,0.009616144628965087,0.005088505013233425,0,9.320881159686794,9.31901867486629,22.204805031478656,22.204805031478656,9.361646366840322,9.36142933229542,99.99999999999996,99.99999999999996,0,2
2023-06-10 00:12:00,2023-06-10 00:12:59,9.307,9.296,9.296,9.307,9.30593739344437,9.3015,9.296,9.307,True,0.00971499144118194,0.0043051303658641436,0,9.319949917276542,9.318260843010599,13.354045809981677,13.354045809981677,9.361047895528477,9.360778294163127,94.27372618431984,98.09124206143993,0,1
